Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
252;Danuel House Jr.;SF;28;NYK;1;3;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
252;Danuel House Jr.;SF;28;UTA;25;19.6;2.2;4.9;1.4;3.3;0.8;1.6;1.1;1.6;2.7;1;0.6;0.5;0.6;1.4;6.8
253;Dwight Howard;C;36;LAL;60;16.2;2.2;3.7;0.1;0.3;2.1;3.4;1.6;2.4;5.9;0.6;0.6;0.6;0.8;1.9;6.2
254;Markus Howard;SG;22;DEN;31;5.7;1.3;3.3;0.9;2.3;0.4;1;0.6;0.7;0.4;0.2;0.3;0;0.2;0.5;4.1
255;Kevin Huerter;SG;23;ATL;74;29.6;4.7;10.3;2.2;5.6;2.5;4.7;0.6;0.7;3.4;2.7;0.7;0.4;1.2;2.5;12.1
256;Jay Huff;C;23;LAL;4;5;0;0.8;0;0.5;0;0.3;0;0;1;0.3;0.3;0.3;0.3;0.3;0
257;Elijah Hughes;SG-SF;23;TOT;36;12.1;1.3;4;0.7;2.6;0.6;1.4;0.2;0.3;1.6;0.6;0.4;0.2;0.5;1.1;3.5
257;Elijah Hughes;SF;23;UTA;14;8;1.1;2.6;0.7;2;0.4;0.6;0.2;0.2;1.2;0.4;0.3;0.1;0.5;0.5;3.1
257;Elijah Hughes;SG;23;POR;22;14.6;1.5;4.9;0.7;3;0.8;1.9;0.2;0.3;1.9;0.7;0.5;0.3;0.5;1.5;3.8
258;Feron Hunt;SF;22;NYK;2;4;0;1;0;0;0;1;0;0;0.5;0.5;0.5;0;0.5;0.5;0
259;De'Andre Hunter;SF;24;ATL;53;29.8;4.8;10.8;1.4;3.7;3.4;7.2;2.4;3.1;3.3;1.3;0.7;0.4;1.3;2.9;13.4
260;Chandler Hutchison;SF;25;PHO;6;3.7;0.2;0.3;0;0;0.2;0.3;0.3;0.3;0.8;0.3;0;0;0.7;0.2;0.7
261;Bones Hyland;PG;21;DEN;69;19;3.3;8.3;1.9;5.2;1.4;3.1;1.6;1.8;2.7;2.8;0.6;0.3;1.2;2.2;10.1
262;Serge Ibaka;C-PF;32;TOT;54;16.2;2.7;5.5;0.7;1.8;2.1;3.6;0.6;0.8;4.6;0.9;0.2;0.6;0.8;1.9;6.8
262;Serge Ibaka;C;32;LAC;35;15.4;2.7;5.5;0.7;1.8;2;3.7;0.6;0.8;4.3;1;0.2;0.7;0.9;1.6;6.6
262;Serge Ibaka;PF;32;MIL;19;17.8;2.8;5.5;0.7;1.9;2.2;3.5;0.6;0.8;5.3;0.7;0.2;0.4;0.5;2.4;7
263;Andre Iguodala;SF;38;GSW;31;19.5;1.5;3.9;0.5;2.4;0.9;1.5;0.5;0.6;3.2;3.7;0.9;0.7;0.9;1.1;4
264;Joe Ingles;SF;34;UTA;45;24.9;2.6;6.3;1.7;5;0.8;1.3;0.4;0.5;2.9;3.5;0.5;0.1;1;1.8;7.2
265;Brandon Ingram;SF;24;NOP;55;34;8.2;17.9;1.3;4.1;6.9;13.8;4.8;5.9;5.8;5.6;0.6;0.5;2.7;2.2;22.7
266;Kyrie Irving;PG;29;BRK;29;37.6;10;21.2;3.4;8.2;6.5;13;4.1;4.4;4.4;5.8;1.4;0.6;2.5;2.8;27.4
267;Wes Iwundu;SF;27;ATL;3;27.3;2.7;6;1;1.7;1.7;4.3;1;1.3;4.3;0;0.3;0;0.3;2.7;7.3
268;Frank Jackson;PG;23;DET;53;22;3.7;9.1;1.6;5.3;2;3.8;1.6;2;1.6;1;0.5;0.2;0.7;1.7;10.6
269;Isaiah Jackson;PF;20;IND;36;15;3.2;5.7;0.1;0.4;3.1;5.3;1.7;2.4;4.1;0.3;0.7;1.4;1.1;2.6;8.3
270;Jaren Jackson Jr.;PF;22;MEM;78;27.3;5.5;13.3;1.6;5.1;3.9;8.1;3.6;4.4;5.8;1.1;0.9;2.3;1.7;3.5;16.3
271;Josh Jackson;SF;24;TOT;51;16.3;2.4;5.9;0.6;2.5;1.7;3.3;1.1;1.5;2.8;1.1;0.5;0.4;0.9;1.7;6.4
271;Josh Jackson;SF;24;DET;39;18.1;2.6;6.4;0.8;2.9;1.9;3.5;1;1.4;3.2;1.3;0.5;0.5;1;1.8;7.1
271;Josh Jackson;SF;24;SAC;12;10.3;1.4;4.1;0.3;1.4;1.2;2.7;1.3;1.8;1.5;0.4;0.4;0.3;0.8;1.4;4.3
272;Justin Jackson;SF;26;TOT;7;5.3;0.7;2.1;0.4;1.3;0.3;0.9;0.3;0.3;1;0.3;0;0;0.1;0.4;2.1
272;Justin Jackson;SF;26;BOS;1;2;0;1;0;0;0;1;2;2;0;0;0;0;0;0;2
272;Justin Jackson;SF;26;PHO;6;5.8;0.8;2.3;0.5;1.5;0.3;0.8;0;0;1.2;0.3;0;0;0.2;0.5;2.2
273;Reggie Jackson;SG;31;LAC;75;31.2;6.4;16.3;2.2;6.8;4.2;9.5;1.8;2.2;3.6;4.8;0.7;0.2;2.3;2.1;16.8
274;LeBron James;SF;37;LAL;56;37.2;11.4;21.8;2.9;8;8.6;13.8;4.5;6;8.2;6.2;1.3;1.1;3.5;2.2;30.3
275;DeJon Jarreau;SG;24;IND;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
276;DaQuan Jeffries;SG;24;MEM;3;3;0.3;0.7;0;0.3;0.3;0.3;0;0;0.7;0.3;0;0;0;0.3;0.7
277;Ty Jerome;SG;24;OKC;48;16.7;2.6;6.8;1.1;3.9;1.5;3;0.8;1;1.6;2.3;0.6;0.1;0.8;1.5;7.1
278;Isaiah Joe;SG;22;PHI;55;11.1;1.1;3.2;0.8;2.5;0.3;0.8;0.5;0.6;1;0.6;0.3;0.1;0.3;0.9;3.6
279;Alize Johnson;PF;25;TOT;23;7.3;0.7;1.7;0;0.2;0.7;1.5;0.3;0.5;2.7;0.4;0.2;0;0.5;0.8;1.8
279;Alize Johnson;PF;25;CHI;16;7.6;0.8;1.4;0;0.1;0.8;1.3;0.3;0.4;2.3;0.5;0.2;0;0.5;0.9;1.8
279;Alize Johnson;PF;25;WAS;3;6;0.7;2;0;0.7;0.7;1.3;0;0.3;4;0;0;0;1;0;1.3
279;Alize Johnson;PF;25;NOP;4;7;0.8;2.5;0;0;0.8;2.5;0.8;1;3.3;0.3;0.5;0;0.3;0.8;2.3
280;B.J. Johnson;SF;26;ORL;4;16.3;2.8;6.3;1;2.5;1.8;3.8;0;0;3.8;0;0;0.3;0;1;6.5
281;Cameron Johnson;PF;25;PHO;66;26.2;4.2;9.2;2.5;5.9;1.7;3.3;1.5;1.7;4.1;1.5;0.9;0.2;0.7;1.7;12.5
282;David Johnson;SG;20;TOR;2;1;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0;0
283;Jalen Johnson;PF;20;ATL;22;5.5;1;1.9;0.1;0.6;0.9;1.3;0.2;0.3;1.2;0.1;0.1;0.1;0.4;0.4;2.4
284;James Johnson;PF;34;BRK;62;19.2;2.3;5;0.4;1.4;2;3.6;0.5;0.9;3.5;2.1;0.5;0.5;0.8;2.6;5.5
285;Joe Johnson;SG;40;BOS;1;2;1;1;0;0;1;1;0;0;0;0;0;0;0;0;2
286;Keldon Johnson;SF;22;SAS;75;31.9;6.3;13.5;2.1;5.3;4.2;8.2;2.4;3.1;6.1;2.1;0.8;0.2;1.2;2;17
287;Keon Johnson;SG;19;TOT;37;18.8;2.6;7.4;0.9;2.7;1.7;4.6;1.1;1.4;2.2;2.1;0.8;0.3;1.2;1.9;7.2
287;Keon Johnson;SG;19;LAC;15;9;1.1;3.4;0.2;0.7;0.9;2.7;1.1;1.4;1.4;0.9;0.5;0.1;0.5;1.4;3.5
287;Keon Johnson;SG;19;POR;22;25.5;3.6;10;1.4;4;2.2;6;1.1;1.4;2.7;2.9;1;0.5;1.8;2.2;9.7
288;Stanley Johnson;PF;25;LAL;48;22.8;2.4;5.2;0.7;2.2;1.8;3;1.1;1.5;3.2;1.7;0.9;0.3;0.7;2.3;6.7
289;Tyler Johnson;PG;29;TOT;6;15.2;1;3.3;0.8;2.2;0.2;1.2;0;0;2;1.2;0.5;0.5;0.3;1.2;2.8
289;Tyler Johnson;PG;29;PHI;3;12.7;1.3;3.3;1;2.3;0.3;1;0;0;2;0.7;0.3;0.3;0.3;1.3;3.7
289;Tyler Johnson;PG;29;SAS;3;17.7;0.7;3.3;0.7;2;0;1.3;0;0;2;1.7;0.7;0.7;0.3;1;2
290;Nikola Joki?;C;26;DEN;74;33.5;10.3;17.7;1.3;3.9;9;13.8;5.1;6.3;13.8;7.9;1.5;0.9;3.8;2.6;27.1
291;Carlik Jones;PG;24;TOT;5;4.6;0.2;1.8;0;0.2;0.2;1.6;0.4;0.4;0.6;1;0.2;0;0.6;0;0.8
291;Carlik Jones;PG;24;DAL;3;6.3;0;2.3;0;0.3;0;2;0.7;0.7;1;1.7;0.3;0;1;0;0.7
291;Carlik Jones;PG;24;DEN;2;2;0.5;1;0;0;0.5;1;0;0;0;0;0;0;0;0;1
292;Damian Jones;C;26;SAC;56;18.2;3.1;4.8;0.2;0.5;2.9;4.2;1.7;2.3;4.4;1.2;0.5;0.8;1.1;2.3;8.1
293;Derrick Jones Jr.;PF;24;CHI;51;17.6;2.1;3.8;0.4;1.2;1.7;2.6;1.1;1.4;3.3;0.6;0.5;0.6;0.6;2.1;5.6
294;Herbert Jones;PF;23;NOP;78;29.9;3.5;7.4;0.7;2.2;2.8;5.2;1.8;2.1;3.8;2.1;1.7;0.8;1.3;3.1;9.5
295;Jemerrio Jones;SF;26;LAL;2;7.5;1;1.5;0;0;1;1.5;0;0;1.5;0;0.5;0;0;1;2
296;Kai Jones;C;21;CHO;21;3;0.4;0.7;0;0.1;0.4;0.6;0.1;0.4;0.5;0.2;0;0.1;0.3;0.4;1
297;Mason Jones;SG;23;LAL;4;12.8;1.8;3.8;0.3;1;1.5;2.8;3;3.8;2.5;1;0.5;0;0.3;2;6.8
298;Tre Jones;PG;22;SAS;69;16.6;2.4;4.9;0.1;0.7;2.3;4.2;1;1.3;2.2;3.4;0.6;0.1;0.7;1.1;6
299;Tyus Jones;PG;25;MEM;73;21.2;3.4;7.6;1.1;2.8;2.3;4.8;0.7;0.9;2.4;4.4;0.9;0;0.6;0.4;8.7
300;DeAndre Jordan;C;33;TOT;48;13;1.9;3;0;0;1.9;3;0.5;0.8;5.5;0.4;0.3;0.7;0.8;1.5;4.3
300;DeAndre Jordan;C;33;LAL;32;12.8;1.9;2.8;0;0;1.9;2.8;0.4;0.8;5.4;0.4;0.3;0.8;0.7;1.6;4.1
300;DeAndre Jordan;C;33;PHI;16;13.4;2;3.4;0;0;2;3.4;0.6;0.9;5.8;0.5;0.1;0.6;1;1.3;4.6
301;Cory Joseph;PG;30;DET;65;24.6;2.7;6.2;1;2.4;1.7;3.7;1.5;1.7;2.7;3.6;0.6;0.3;1.3;2.3;8
302;Georgios Kalaitzakis;SF;23;TOT;13;16.5;2.4;5.2;0.8;2;1.6;3.2;1.1;2.3;1.6;0.9;0.8;0.2;1.5;1.5;6.6
302;Georgios Kalaitzakis;SF;23;MIL;9;5.3;0.6;1.2;0.2;0.4;0.3;0.8;0.4;1;0.9;0;0.1;0.1;0.4;0.9;1.8
302;Georgios Kalaitzakis;SF;23;OKC;4;41.5;6.5;14;2;5.5;4.5;8.5;2.5;5.3;3.3;3;2.5;0.3;4;2.8;17.5
303;Frank Kaminsky;C;28;PHO;9;20.1;4;7.3;0.6;1.7;3.4;5.7;2;2.2;4.6;1.4;0.9;0.8;0.6;1.6;10.6
304;Luke Kennard;SG;25;LAC;70;27.4;4.1;9.1;2.7;6;1.4;3.1;1;1.1;3.3;2.1;0.6;0.1;0.9;1.4;11.9
305;Braxton Key;SF;24;TOT;11;17.9;3;6.5;0.5;1.9;2.5;4.6;0.6;1.2;4.5;1;0.9;1;1;2.4;7.2
305;Braxton Key;SF;24;PHI;2;3;0.5;1;0;0.5;0.5;0.5;0;0;1;0.5;0.5;0;1;0.5;1
305;Braxton Key;SF;24;DET;9;21.2;3.6;7.8;0.7;2.2;2.9;5.6;0.8;1.4;5.3;1.1;1;1.2;1;2.8;8.6
306;George King;SF;28;DAL;4;4.8;0;1.3;0;1;0;0.3;0.3;0.5;1.3;0;0;0;0.3;1;0.3
307;Louis King;SF;22;SAC;10;10.4;1.5;4.7;0.8;2.7;0.7;2;0.7;1;1.2;0.9;0.2;0.1;0;1.4;4.5
308;Corey Kispert;SF;22;WAS;77;23.4;3;6.7;1.5;4.2;1.6;2.5;0.7;0.8;2.7;1.1;0.5;0.3;0.6;1.2;8.2
309;Maxi Kleber;PF;30;DAL;59;24.6;2.4;6;1.4;4.3;1;1.7;0.8;1.1;5.9;1.2;0.5;1;0.8;2.3;7
310;Brandon Knight;PG;30;DAL;5;13;2;5;0.8;3.4;1.2;1.6;1.6;1.6;1.6;1.6;0.2;0;0.8;1;6.4
311;Nathan Knight;PF;24;MIN;37;7.2;1.2;2.4;0.1;0.4;1.1;2;1.2;1.6;2.3;0.6;0.2;0.2;0.5;1.1;3.7
312;Kevin Knox;SF;22;TOT;30;7.4;1;2.8;0.5;1.8;0.5;1;0.5;0.7;1.5;0.3;0.1;0.1;0.2;0.6;3.1
312;Kevin Knox;SF;22;NYK;13;8.5;1.2;3.1;0.8;2.2;0.4;0.9;0.5;0.8;1.7;0.2;0.2;0.1;0.4;0.4;3.6
312;Kevin Knox;SF;22;ATL;17;6.5;0.9;2.6;0.3;1.5;0.6;1.1;0.5;0.7;1.3;0.4;0.1;0.1;0.1;0.8;2.7
313;John Konchar;SG;25;MEM;72;17.9;1.9;3.6;0.7;1.8;1.2;1.9;0.4;0.7;4.6;1.5;0.6;0.3;0.4;1.3;4.8
314;Furkan Korkmaz;SG;24;PHI;67;21.1;2.7;7;1.1;4;1.6;3;1;1.3;2.6;1.9;0.5;0.1;0.7;0.9;7.6
315;Luke Kornet;C;26;TOT;15;6.9;0.9;1.8;0;0.3;0.9;1.5;0.3;0.4;1.9;0.6;0.2;0.2;0;0.6;2
315;Luke Kornet;C;26;CLE;2;7.5;0.5;2.5;0;0.5;0.5;2;1;1.5;1.5;0.5;0;0.5;0;0.5;2
315;Luke Kornet;C;26;MIL;1;3;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0
315;Luke Kornet;C;26;BOS;12;7.1;1;1.8;0;0.3;1;1.4;0.2;0.3;2.1;0.7;0.3;0.2;0;0.6;2.2
316;Vit Krejci;SG;21;OKC;30;23;2.3;5.6;1.1;3.3;1.2;2.3;0.6;0.7;3.4;1.9;0.6;0.3;1;2.2;6.2
317;Arnoldas Kulboka;SF;24;CHO;2;2.5;0;0.5;0;0.5;0;0;0;0;0;0;0;0;0;0.5;0
318;Jonathan Kuminga;SF;19;GSW;70;16.9;3.4;6.6;0.7;2.1;2.7;4.4;1.9;2.7;3.3;0.9;0.4;0.3;1.1;2.1;9.3
319;Kyle Kuzma;PF;26;WAS;66;33.4;6.4;14.2;1.9;5.7;4.5;8.5;2.4;3.3;8.5;3.5;0.6;0.9;2.6;1.9;17.1
320;Anthony Lamb;SF;24;SAS;2;4;0;1;0;1;0;0;0;0;0.5;1;0;0;0;0;0
321;Jeremy Lamb;SF-SG;29;TOT;56;16.7;2.4;6.2;1;3;1.4;3.2;1.6;1.9;2.8;1.4;0.6;0.4;0.7;1.1;7.3
321;Jeremy Lamb;SF;29;IND;39;15.7;2.2;5.8;1;3;1.2;2.8;1.7;2.1;2.4;1.3;0.6;0.4;0.6;1.1;7.1
321;Jeremy Lamb;SG;29;SAC;17;18.9;2.8;7;0.9;3.1;1.9;3.9;1.3;1.5;3.5;1.8;0.5;0.5;0.8;0.9;7.9
322;Jock Landale;C;26;SAS;54;10.9;1.9;3.8;0.5;1.6;1.3;2.1;0.6;0.8;2.6;0.8;0.2;0.3;0.6;1;4.9
323;Romeo Langford;SG;22;TOT;48;16.1;1.7;4;0.6;1.8;1.1;2.2;0.5;0.9;2.3;0.4;0.5;0.3;0.3;1;4.5
323;Romeo Langford;SG;22;BOS;44;16.5;1.8;4.2;0.7;1.9;1.1;2.3;0.5;0.8;2.4;0.4;0.5;0.4;0.4;1;4.7
323;Romeo Langford;SG;22;SAS;4;10.8;1;1.8;0;0.5;1;1.3;0.8;2;1;0.5;0.3;0;0;0.3;2.8
324;Zach LaVine;SF;26;CHI;67;34.7;8.4;17.7;2.8;7.1;5.7;10.6;4.8;5.6;4.6;4.5;0.6;0.3;2.6;1.8;24.4
325;Jake Layman;SF;27;MIN;34;6.8;0.9;2.1;0.2;1;0.6;1.1;0.4;0.5;1.1;0.3;0.2;0.1;0.3;0.4;2.4
326;Damion Lee;SG;29;GSW;63;19.9;2.7;6.1;1;3;1.7;3.1;1;1.2;3.2;1;0.6;0.1;0.6;1.5;7.4
327;Saben Lee;PG;22;DET;37;16.3;1.9;4.8;0.4;1.6;1.5;3.2;1.5;1.9;2.4;2.9;1;0.3;1;1.2;5.6
328;Alex Len;C;28;SAC;39;15.9;2.4;4.5;0.2;0.5;2.3;4;1.1;1.6;4.1;1.2;0.3;0.6;1.1;2.6;6
329;Caris LeVert;SG;27;TOT;58;30.7;6.5;14.7;1.4;4.4;5.1;10.3;2.5;3.3;3.7;4.3;0.9;0.4;1.9;2.3;17
329;Caris LeVert;SG;27;IND;39;31.1;7.1;15.9;1.6;4.8;5.6;11.1;2.8;3.7;3.8;4.4;0.9;0.5;1.9;2.3;18.7
329;Caris LeVert;SG;27;CLE;19;29.8;5.3;12.2;1.1;3.5;4.2;8.7;1.8;2.5;3.4;3.9;0.8;0.3;1.7;2.1;13.6
330;Kira Lewis Jr.;PG;20;NOP;24;14.2;2.5;6.1;0.5;2.4;1.9;3.7;0.4;0.5;1.6;2;0.5;0;1.1;0.7;5.9
331;Scottie Lewis;SG;21;CHO;2;3.5;0;0;0;0;0;0;0.5;1;0;0.5;0.5;0;0;0;0.5
332;Damian Lillard;PG;31;POR;29;36.4;7.7;19;3.2;9.8;4.5;9.2;5.5;6.2;4.1;7.3;0.6;0.4;2.9;1.3;24
333;Nassir Little;SF;21;POR;42;25.9;3.5;7.5;1.2;3.7;2.2;3.8;1.6;2.2;5.6;1.3;0.6;0.9;1;2;9.8
334;Isaiah Livers;SF;23;DET;19;20.2;2.2;4.7;1.4;3.4;0.7;1.4;0.6;0.7;3;1.1;0.7;0.4;0.8;1.9;6.4
335;Kevon Looney;C;25;GSW;82;21.1;2.5;4.4;0;0;2.5;4.4;0.9;1.5;7.3;2;0.6;0.6;0.8;2.6;6
336;Brook Lopez;C;33;MIL;13;22.9;4.7;10.1;1.5;4.1;3.2;6;1.5;1.8;4.1;0.5;0.6;1.2;0.9;2.6;12.4
337;Robin Lopez;C;33;ORL;36;17;3.1;5.5;0.1;0.2;3;5.4;0.9;1.5;3.5;1.5;0.1;0.5;1.2;1.9;7.1
338;Didi Louzada;SG-SF;22;TOT;9;14.3;1.3;3.7;1;2.6;0.3;1.1;0.2;0.2;1.9;0.6;0.2;0.2;0.6;1.4;3.9
338;Didi Louzada;SF;22;NOP;2;3.5;0;1.5;0;1.5;0;0;0;0;1;0.5;0;0;0;0;0
338;Didi Louzada;SG;22;POR;7;17.4;1.7;4.3;1.3;2.9;0.4;1.4;0.3;0.3;2.1;0.6;0.3;0.3;0.7;1.9;5
339;Kevin Love;PF;33;CLE;74;22.5;4.4;10.3;2.5;6.4;1.9;3.8;2.2;2.7;7.2;2.2;0.4;0.2;1.3;1.4;13.6
340;Kyle Lowry;PG;35;MIA;63;33.9;4.4;10;2.3;6.1;2.1;3.9;2.3;2.8;4.5;7.5;1.1;0.3;2.7;2.8;13.4
341;Gabriel Lundberg;SG;27;PHO;4;11;1.3;4.8;0.8;2;0.5;2.8;0;0;1.8;2.8;0.8;0;0.8;1.8;3.3
342;Timothé Luwawu-Cabarrot;SF;26;ATL;52;13.2;1.4;3.6;0.8;2.3;0.6;1.2;0.7;0.8;1.6;0.8;0.3;0.1;0.4;1.5;4.4
343;Trey Lyles;PF;26;TOT;75;20.5;3.5;7.5;0.9;2.8;2.6;4.7;2.6;3.2;5.1;1.2;0.4;0.4;1;1.6;10.5
343;Trey Lyles;PF;26;DET;51;19.4;3.4;7.5;0.9;2.9;2.6;4.7;2.7;3.5;4.8;1.1;0.4;0.5;1.1;1.8;10.4
343;Trey Lyles;PF;26;SAC;24;22.8;3.6;7.4;1;2.6;2.7;4.8;2.4;2.8;5.6;1.3;0.3;0.3;0.8;1.3;10.6
344;Théo Maledon;PG;20;OKC;51;17.8;2.3;6.2;0.9;2.9;1.5;3.3;1.5;2;2.6;2.2;0.6;0.2;1.3;1.3;7.1
345;Sandro Mamukelashvili;PF;22;MIL;41;9.9;1.4;2.8;0.5;1.3;0.9;1.5;0.4;0.5;2;0.5;0.2;0.2;0.4;0.7;3.8
346;Terance Mann;SF;25;LAC;81;28.6;4.1;8.5;0.9;2.6;3.2;6;1.6;2;5.2;2.6;0.7;0.3;1;2.2;10.8
347;Tre Mann;PG;20;OKC;60;22.8;3.9;9.8;1.6;4.5;2.2;5.3;1.1;1.4;2.9;1.5;0.8;0.2;1.2;1.7;10.4
348;Boban Marjanovi?;C;33;DAL;23;5.6;1.8;3;0;0.2;1.8;2.9;0.6;1;1.7;0.1;0;0.1;0.7;1;4.3
349;Lauri Markkanen;PF;24;CLE;61;30.8;5.1;11.5;2.2;6.2;2.9;5.3;2.3;2.6;5.7;1.3;0.7;0.5;0.9;2.1;14.8
350;Naji Marshall;SF;24;NOP;55;13.4;2;4.9;0.4;1.9;1.6;3;1.3;1.7;2.6;1.1;0.6;0.1;0.8;1.3;5.7
351;Caleb Martin;SF;26;MIA;60;22.9;3.5;6.8;1.1;2.6;2.4;4.3;1.2;1.6;3.8;1.1;1;0.5;0.9;1.7;9.2
352;Cody Martin;SF;26;CHO;71;26.3;2.9;6;0.9;2.2;2;3.7;1.1;1.5;4;2.5;1.2;0.5;0.9;1.6;7.7
353;Kelan Martin;SF;26;TOT;30;15;2.3;5.7;0.7;2.5;1.6;3.2;0.3;0.4;1.8;0.7;0.4;0.3;0.5;1.2;5.7
353;Kelan Martin;SF;26;IND;27;16.4;2.6;6.2;0.8;2.7;1.8;3.5;0.3;0.5;2;0.8;0.5;0.3;0.5;1.3;6.3
353;Kelan Martin;SF;26;BOS;3;2;0;1;0;0.3;0;0.7;0;0;0.7;0;0;0;0;0;0
354;Kenyon Martin Jr.;SF;21;HOU;79;21;3.5;6.6;0.8;2.1;2.8;4.5;1;1.6;3.8;1.3;0.4;0.5;0.8;1.4;8.8
355;Garrison Mathews;SG;25;HOU;65;26.3;2.8;7.1;2.1;5.9;0.7;1.2;2.2;2.8;2.9;1;0.9;0.4;0.6;2.6;10
356;Dakota Mathias;SG;26;MEM;6;2.7;0.3;1;0.3;1;0;0;0;0;0.3;0.2;0.2;0;0;0.2;1
357;Wesley Matthews;SG;35;MIL;49;20.4;1.8;4.5;1.1;3.2;0.7;1.3;0.4;0.6;1.9;0.7;0.5;0.2;0.4;1.8;5.1
358;Tyrese Maxey;PG;21;PHI;75;35.3;6.4;13.3;1.8;4.1;4.7;9.1;2.8;3.3;3.2;4.3;0.7;0.4;1.2;2.1;17.5
359;Skylar Mays;SG;24;ATL;28;7.9;1.1;2.3;0.3;0.9;0.9;1.4;0.3;0.3;0.9;0.6;0.3;0;0.4;0.3;2.9
360;Miles McBride;PG;21;NYK;40;9.3;0.8;2.7;0.4;1.7;0.4;1;0.2;0.3;1.1;1;0.4;0;0.1;1.1;2.2
361;Mac McClung;SG-PG;23;TOT;2;12.5;1.5;3;0.5;1.5;1;1.5;0.5;0.5;1.5;0.5;0.5;0.5;1.5;2.5;4
361;Mac McClung;PG;23;CHI;1;3;1;1;0;0;1;1;0;0;0;0;0;0;1;0;2
361;Mac McClung;SG;23;LAL;1;22;2;5;1;3;1;2;1;1;3;1;1;1;2;5;6
362;CJ McCollum;SG;30;TOT;62;34.6;8.6;18.8;2.9;7.6;5.7;11.2;1.9;2.7;4.3;5.1;1.1;0.4;2;2;22.1
362;CJ McCollum;SG;30;POR;36;35.2;8.1;18.5;3.1;8;5;10.4;1.3;1.9;4.3;4.5;1;0.6;1.9;2.1;20.5
362;CJ McCollum;SG;30;NOP;26;33.8;9.5;19.2;2.7;6.9;6.7;12.3;2.6;3.9;4.5;5.8;1.3;0;2.2;1.7;24.3
363;T.J. McConnell;PG;29;IND;27;24.1;3.7;7.7;0.4;1.2;3.3;6.5;0.7;0.9;3.3;4.9;1.1;0.4;1.1;2;8.5
364;Jaden McDaniels;PF;21;MIN;70;25.8;3.6;7.9;1.1;3.6;2.5;4.3;0.8;1;4.2;1.1;0.7;0.8;1.1;3.2;9.2
365;Jalen McDaniels;SF;24;CHO;55;16.3;2.2;4.6;0.7;2;1.5;2.7;1;1.3;3.1;1.1;0.5;0.4;0.7;1.7;6.2
366;Doug McDermott;PF;30;SAS;51;24;4.2;9.1;2.1;5;2.1;4.1;0.8;1;2.3;1.3;0.3;0.1;0.8;1.5;11.3
367;JaVale McGee;C;34;PHO;74;15.8;3.9;6.2;0;0.1;3.9;6.1;1.4;2;6.7;0.6;0.3;1.1;1.3;2.4;9.2
368;Cameron McGriff;SF;24;POR;3;15.3;1.7;4.7;0.7;2;1;2.7;0.7;0.7;5;1;0;0.3;0;2.3;4.7
369;Rodney McGruder;SG;30;DET;51;14.8;1.9;4.4;1.1;2.9;0.8;1.5;0.4;0.5;2.2;0.9;0.4;0.1;0.5;1.1;5.4
370;Alfonzo McKinnie;SF;29;CHI;17;12.1;1.4;3.6;0.5;1.6;0.9;2;0.1;0.5;1.9;0.3;0.1;0.2;0.4;1.5;3.5
371;JaQuori McLaughlin;PG;24;DAL;4;2.8;0;0.5;0;0.3;0;0.3;0;0;0;0.5;0;0;0;0.3;0
372;Jordan McLaughlin;PG;25;MIN;62;14.5;1.4;3.2;0.4;1.4;1;1.9;0.5;0.6;1.5;2.9;0.9;0.2;0.6;0.9;3.8
373;Ben McLemore;SG;28;POR;64;20.1;3.4;8.4;2.4;6.5;1;1.9;1.1;1.4;1.6;0.9;0.6;0.2;0.9;1.6;10.2
374;De'Anthony Melton;SG;23;MEM;73;22.7;3.8;9.5;1.9;5.1;1.9;4.4;1.2;1.6;4.5;2.7;1.4;0.5;1.5;1.8;10.8
375;Sam Merrill;SG;25;MEM;6;9.7;1.3;4;1.2;3.8;0.2;0.2;0.3;0.7;1.2;0.7;0;0;0.3;0.5;4.2
376;Chimezie Metu;C;24;SAC;60;21.3;3.4;7.5;1;3.1;2.4;4.4;1.2;1.5;5.6;1;0.9;0.5;1;1.6;8.9
377;Khris Middleton;SF;30;MIL;66;32.4;6.8;15.5;2.5;6.6;4.4;8.9;3.9;4.4;5.4;5.4;1.2;0.3;2.9;2.4;20.1
378;C.J. Miles;SG;34;BOS;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
379;Patty Mills;PG;33;BRK;81;29;4;9.8;2.8;7;1.2;2.8;0.6;0.7;1.9;2.3;0.6;0.2;0.9;1.4;11.4
380;Paul Millsap;PF;36;TOT;33;11.4;1.4;3.5;0.2;1.1;1.1;2.4;0.5;0.7;3.5;0.9;0.3;0.4;0.6;2;3.5
380;Paul Millsap;PF;36;BRK;24;11.3;1.3;3.5;0.3;1.1;1.1;2.4;0.5;0.7;3.7;1;0.2;0.5;0.5;2;3.4
