Rank;Player name;Position;Age;Team;Games played;Minutes played per game;Field goals per game;Field goal attempts per game;3-point field goals per game;3-point field goal attempts per game;2-point field goals per game;2-point field goal attempts per game;Free throws per game;Free throw attempts per game;Total rebounds per game;Assists per game;Steals per game;Blocks per game;Turnovers per game;Personal fouls per game;Points per game
65;Ignas Brazdeikis;SF;23;ORL;42;12.8;1.9;4.5;0.6;2.1;1.3;2.4;0.5;0.8;1.7;0.9;0.2;0.1;0.4;1.1;5
66;Mikal Bridges;SF;25;PHO;82;34.8;5.6;10.5;1.4;3.8;4.2;6.7;1.6;1.9;4.2;2.3;1.2;0.4;0.8;1.8;14.2
67;Miles Bridges;PF;23;CHO;80;35.5;7.5;15.2;1.9;5.8;5.5;9.4;3.3;4.2;7;3.8;0.9;0.8;1.9;2.4;20.2
68;Oshae Brissett;SF;23;IND;67;23.3;3.1;7.6;1.2;3.5;1.9;4;1.7;2.4;5.3;1.1;0.7;0.4;0.8;1.7;9.1
69;Malcolm Brogdon;PG;29;IND;36;33.5;6.8;15.1;1.6;5.2;5.1;9.9;4;4.6;5.1;5.9;0.8;0.4;2.1;2;19.1
70;Armoni Brooks;SG-PG;23;TOT;54;15.6;1.8;5.4;1.4;4.6;0.4;0.7;0.3;0.4;1.9;1.1;0.5;0.2;0.5;1.4;5.3
70;Armoni Brooks;SG;23;HOU;41;16.8;2.1;6.1;1.6;5.2;0.6;0.9;0.4;0.5;2;1.2;0.5;0.2;0.6;1.5;6.2
70;Armoni Brooks;PG;23;TOR;13;11.8;0.8;2.9;0.8;2.8;0.1;0.2;0.2;0.2;1.7;1;0.5;0.2;0.3;1.1;2.6
71;Dillon Brooks;SF;26;MEM;32;27.7;7.1;16.4;1.4;4.7;5.7;11.8;2.8;3.3;3.2;2.8;1.1;0.3;1.6;3.3;18.4
72;Bruce Brown;SF;25;BRK;72;24.6;3.6;7;0.5;1.3;3;5.7;1.3;1.8;4.8;2.1;1.1;0.7;0.8;2.4;9
73;Charlie Brown Jr.;SG;24;TOT;22;8;0.5;1.8;0;0.5;0.4;1.2;0.4;0.5;1.5;0.3;0.5;0.2;0.2;0.8;1.4
73;Charlie Brown Jr.;SG;24;DAL;3;5;0.3;1.7;0;1;0.3;0.7;0;0;0.3;0.3;0.7;0.3;0;0.7;0.7
73;Charlie Brown Jr.;SG;24;PHI;19;8.5;0.5;1.8;0.1;0.5;0.4;1.3;0.5;0.5;1.6;0.3;0.4;0.2;0.3;0.8;1.5
74;Chaundee Brown Jr.;SG-SF;23;TOT;5;20.8;2;6.4;1.2;3.6;0.8;2.8;1;1.2;3.2;0.8;0.4;0;0.2;1.4;6.2
74;Chaundee Brown Jr.;SF;23;LAL;2;10.5;0.5;3.5;0;1.5;0.5;2;0;0;1;0;0;0;0.5;0;1
74;Chaundee Brown Jr.;SG;23;ATL;3;27.7;3;8.3;2;5;1;3.3;1.7;2;4.7;1.3;0.7;0;0;2.3;9.7
75;Greg Brown III;SF;20;POR;48;13.3;1.7;4;0.4;1.3;1.3;2.7;0.9;1.4;2.8;0.7;0.5;0.5;0.8;1.9;4.7
76;Jaylen Brown;SF;25;BOS;66;33.6;8.7;18.4;2.5;7;6.2;11.4;3.7;4.8;6.1;3.5;1.1;0.3;2.7;2.5;23.6
77;Moses Brown;C;22;TOT;40;8.6;1.6;2.7;0;0;1.6;2.7;1.1;1.8;3.4;0;0.2;0.4;0.5;1.3;4.3
77;Moses Brown;C;22;DAL;26;6.5;1;1.9;0;0;1;1.9;1;1.7;2.3;0;0.1;0.3;0.5;1.1;3.1
77;Moses Brown;C;22;CLE;14;12.6;2.6;4.1;0;0;2.6;4.1;1.1;2.1;5.3;0;0.3;0.5;0.4;1.8;6.4
78;Sterling Brown;SG;26;DAL;49;12.8;1.2;3.2;0.6;1.9;0.6;1.3;0.3;0.3;3;0.7;0.3;0.1;0.5;1.1;3.3
79;Troy Brown Jr.;SF;22;CHI;66;16;1.6;3.9;0.7;2;0.9;1.9;0.3;0.4;3.1;1;0.5;0.1;0.4;0.9;4.3
80;Jalen Brunson;PG;25;DAL;79;31.9;6.4;12.8;1.2;3.2;5.2;9.6;2.3;2.7;3.9;4.8;0.8;0;1.6;1.9;16.3
81;Thomas Bryant;C;24;WAS;27;16.3;2.9;5.5;0.4;1.6;2.4;3.9;1.3;1.5;4;0.9;0.2;0.8;0.7;1.6;7.4
82;Shaq Buchanan;PG;25;MEM;2;5;0.5;2;0;1;0.5;1;0;0;1;1;0.5;0;1;0.5;1
83;Reggie Bullock;SF;30;DAL;68;28;3;7.4;2.1;5.8;0.9;1.6;0.6;0.7;3.5;1.2;0.6;0.2;0.6;1.6;8.6
84;Trey Burke;PG;29;DAL;42;10.5;2;5.1;0.6;2;1.4;3.2;0.5;0.5;0.8;1.4;0.3;0;0.6;0.9;5.1
85;Alec Burks;SG;30;NYK;81;28.6;3.5;9;1.9;4.8;1.6;4.2;2.7;3.3;4.9;3;1;0.3;1.1;2.7;11.7
86;Jared Butler;SG;21;UTA;42;8.6;1.5;3.6;0.7;2.1;0.8;1.5;0.3;0.4;1.1;1.5;0.4;0.2;0.8;1.1;3.8
87;Jimmy Butler;SF;32;MIA;57;33.9;7;14.5;0.5;2;6.5;12.5;6.9;8;5.9;5.5;1.6;0.5;2.1;1.5;21.4
88;Devontae Cacok;PF;25;SAS;15;8.1;1.4;2.1;0;0;1.4;2.1;0.3;0.5;2.8;0.4;0.5;0.5;0.2;1.1;3.1
